record_id,title,segment_index,segment_word_count,assigned_agent,narrative_score,materials_score,narrative_matches,materials_matches,list_markers,is_ambiguous,classification_reason,text
/2020601/https___1914_1918_europeana_eu_contributions_10057,"Hermann Staratzkys Kriegstagebuch ""Der Große Krieg"" | War diary of Hermann Staratzky ""The Great War""",1,134,narrative,2,2,2,1,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","The author, then 17 years old, reports in detail in his diary how he experienced the time immediately before and after the outbreak of war in 1914. He writes about the mood at the time of the impending entry into the war and in the first days of the war, the mood among travelers, in the city, among peers, among his teachers, at the barracks gate, with his mother and also with himself the author has spent a Wandervogel holiday in the Eifel and is now alone on a hike along the Lahn. But soon he drives back to his hometown of Hamburg and reports from there. The records cover the period from July 26 to August 24, 1914. Hermann does not survive the war. He is wounded and dies on October 22, 1916."
/2020601/https___1914_1918_europeana_eu_contributions_10061,"ACA4640172_43_BOUDET_01 - Félix Boudet, officier et artiste | Félix Boudet, Officer and Artist",1,11,narrative,0,0,0,0,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.",Picture of Boudet and Colleagues and three other hand drawn pictures
/2020601/https___1914_1918_europeana_eu_contributions_10095,FRAD017_110_Georges Pissard | Georges Pissard,2,29,materials,1,2,1,1,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","Madame Marie-Madeline Crespeau, the great-niece of Georges Pissard, came to bring photos of the Front taken by her great-uncle, particularly in the towns of Esnes (Nord) and Auvaucourt (Verdun)."
/2020601/https___1914_1918_europeana_eu_contributions_10135,"FRAD067-123/2 Second album de Nicolas Hiessler (1884-1952), infirmier en Flandre et en Artois (armée allemande) | Album from Nicolas Hiessler, with photographs from the Western Front",1,314,materials,5,6,4,3,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","It is in memory of Miss Valentine Hiessler (born in Oberbronn on May 31, 1914, deceased), that she was still going to visit in 2006 at the retirement home of Haguenau, which Mrs. Teresa Weller entrusted to the Departmental Archives of Bas- Rhine two photographic albums from the father of this acquaintance, Constable Nicolas Hiessler (31/10/1884-13/05/1952). Consultation of this man's individual Veteran's file (Arch. dep. Bas-Rhin, call number 844 D 165) makes it possible to retrace his career and corroborate dates and places captioning his war photographs. Private, non-commissioned officer (03/28/1915), then nurse-sergeant (01/20/1918), Nicolas Hiessler served from August 3, 1914 to November 22, 1918, essentially (from October 31, 1914) in the Bayerische Sanitäts Kraftwagen Abteilung 6. As such he took part in position combat in Flanders and Artois from October 14, 1915 to June 23, 1916 and from January 1, 1917 to April 8, 1918 - services which he still in 1946, difficulties in asserting as justifying his rights to retirement as a combatant. He also took part in the fighting to defend the border in Lorraine (08-19/08/1914, within the 42. inf. Div. (XXI AK)), in the battles near La Bassée, Arras (09/05 -23/07 and 25/09-13/10/1915) and Armentières (09-18/04/1918); he ended the war on the western front, in Flanders and still in Artois (19/04-06/09/1918). Holder of the “Mil. Fuhrerschein 3 b”, Nicolas Hiessler was decorated twice: Bay. mil. Green. Kreuz 3. Kl. md Kr. u. Schw. (27/11/1916); Prof. Eis. Kreuz 2. Klasse (07/10/1918). The two photographic albums he kept from the war attest to his passage, between 1916 and 1918, in Brussels, Valenciennes, Anzin, Arras, Hénin-Liétard (today Hénin-Beaumont), Croizilles, Hunes, Winkles, Loos-en -Gohelle, Lens, Loison-sous-Lens, Pont-à-Vendin, Vimy, Douchy-les-Mines, Mouchy, Roubaix, Ostend, Tournai, Bailleul, Herlies, Raismes… See also contribution FRAD067-123/1."
/2020601/https___1914_1918_europeana_eu_contributions_1020,"Karl Beck, ein Schreiner aus Stuttgart als Soldat im Elsass | Letters to his wife, the photo and postcard album of a soldier (formerly a carpenter from Stuttgart) who served from 1914 till 19th Feb. 1915 when he died in Alsace.",1,70,narrative,8,8,6,4,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","Karl Beck is the grandfather of the participant, he was born on March 3rd, 1881, he worked as a carpenter in Degerloch (Stuttgart). In 1914 he joined the Landwehr Infantry Regiment 121 and was deployed in Alsace. He fell on February 19, 1915. Attached is the family's photo and postcard album with memories of World War I, as well as 4 letters that he wrote to his wife Wilhelmine Beck."
/2020601/https___1914_1918_europeana_eu_contributions_10224,Frans Van Sante in 'Den Grooten Oorlog' | Frans Van Sante in 'Den Grooten Oorlog',2,21,materials,1,2,1,1,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","I am in possession of the photo, which shows the family and the mare with the foal (probably taken around 1916-17?)"
/2020601/https___1914_1918_europeana_eu_contributions_10254,FRBNBU-095 Histoire du canonnier Henri Portret et de ses frères | Henri Portret was a guner,1,90,narrative,6,6,4,3,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","Octave Henri Portret, often called Henri, was born on January 21, 1889. He was 25 years old during the general mobilization and was in Argentina. Paris discount'. He was assigned as a gunner to the 5th heavy artillery regiment (RA) in Valence. He then passed to the 106th RA which received a citation in 1916. Henriette Portret, wife Madinan, her daughter, received from her father Henri some objects of the craftsmanship of the trenches brought back by Octave, as well as a collection of quite significant postcards of the time."
/2020601/https___1914_1918_europeana_eu_contributions_10268,"Auguste§, Joseph LECHANTEUX 1884-1950 | Documents of Auguste Joseph Lechanteux",1,78,narrative,1,0,1,0,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","LECHANTEUX, Auguste, Joseph, born in Chantenay, Sarthe, on January 23, 1884 - Class 1904, incorporated on October 10, 1905, incorporation number 383, Le Mans recruitment office, registration number 3873 - Private 1st class - 23 years old services - 5 campaigns - Wounded and cited: * to the order of the 317th Infantry Regiment, n° 292, November 4, 1916 * to the order of the Fourth Army – 4th Battalion, 317th Infantry Regiment, August 1 1917 * to Regimental Order No. 878 April 17, 1918 - Died 1950"
/2020601/https___1914_1918_europeana_eu_contributions_10275,Wilhelm Sandvoß´ Einsatz an der Ost- und Westfront | Wilhelm Sandvoß mission at Eastern and Western Front,1,115,narrative,6,6,6,3,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","Wilhelm Sandvoß came from Segeste in the district of Alfeld. During the war he served in the 10th company of the Reserve Infantry Regiment 249, which was deployed on the Eastern Front and in the last year of the war also on the Western Front. The surviving photos testify to his participation in the Battle of Kovel, trench warfare between Krevo-Smorgon-Noroch-Tverech and the Battle of Riga. In his letter to his relatives in February 1916, he reports on the everyday hardships, for example with regard to food or life in the trenches. The last photo dates from May 1918 in Montdidier on the Somme. Nothing else is known about his life story after the war."
/2020601/https___1914_1918_europeana_eu_contributions_10304,Tagebuch des jungen Bernhard Bültemann aus Halle | The diary of young Bernhard Bültemann,2,60,narrative,3,2,3,1,0,True,"Scores are close, so this segment should be treated as a manual-review candidate.","War diary by Bernhard Bültemann. In it he describes both his father's military service, who died in 1915 in the East, as well as the general development of the war, school days during the war, the efforts of the women at home and at home, the harsh war winter of 1916/17 and the prisoner of war camp in Halle."
